section,metric,date,value,title,item_id,extra
overview,account_search,2026-05-23,0,,,"{""current_count"":""0"",""last_period_incr"":""0"",""last_day_incr_rate"":""-"",""option_type"":29}"
overview,account_search,2026-05-24,0,,,"{""current_count"":""0"",""last_period_incr"":""0"",""last_day_incr_rate"":""-"",""option_type"":29}"
overview,account_search,2026-05-25,0,,,"{""current_count"":""0"",""last_period_incr"":""0"",""last_day_incr_rate"":""-"",""option_type"":29}"
overview,account_search,2026-05-26,0,,,"{""current_count"":""0"",""last_period_incr"":""0"",""last_day_incr_rate"":""-"",""option_type"":29}"
overview,account_search,2026-05-27,0,,,"{""current_count"":""0"",""last_period_incr"":""0"",""last_day_incr_rate"":""-"",""option_type"":29}"
overview,account_search,2026-05-28,0,,,"{""current_count"":""0"",""last_period_incr"":""0"",""last_day_incr_rate"":""-"",""option_type"":29}"
overview,account_search,2026-05-29,0,,,"{""current_count"":""0"",""last_period_incr"":""0"",""last_day_incr_rate"":""-"",""option_type"":29}"
overview,cancel_fans,2026-05-23,1,,,"{""current_count"":""4"",""last_period_incr"":""2"",""last_day_incr_rate"":""-50.00%"",""option_type"":24}"
overview,cancel_fans,2026-05-24,0,,,"{""current_count"":""4"",""last_period_incr"":""2"",""last_day_incr_rate"":""-100.00%"",""option_type"":24}"
overview,cancel_fans,2026-05-25,1,,,"{""current_count"":""4"",""last_period_incr"":""2"",""last_day_incr_rate"":""-"",""option_type"":24}"
overview,cancel_fans,2026-05-26,0,,,"{""current_count"":""4"",""last_period_incr"":""2"",""last_day_incr_rate"":""-100.00%"",""option_type"":24}"
overview,cancel_fans,2026-05-27,1,,,"{""current_count"":""4"",""last_period_incr"":""2"",""last_day_incr_rate"":""-"",""option_type"":24}"
overview,cancel_fans,2026-05-28,1,,,"{""current_count"":""4"",""last_period_incr"":""2"",""last_day_incr_rate"":""0.00%"",""option_type"":24}"
overview,cancel_fans,2026-05-29,0,,,"{""current_count"":""4"",""last_period_incr"":""2"",""last_day_incr_rate"":""-"",""option_type"":24}"
overview,comment,2026-05-23,-13,,,"{""current_count"":""9"",""last_period_incr"":""-48"",""last_day_incr_rate"":""-136.11%"",""option_type"":4}"
overview,comment,2026-05-24,-2,,,"{""current_count"":""9"",""last_period_incr"":""-48"",""last_day_incr_rate"":""+84.62%"",""option_type"":4}"
overview,comment,2026-05-25,5,,,"{""current_count"":""9"",""last_period_incr"":""-48"",""last_day_incr_rate"":""+350.00%"",""option_type"":4}"
overview,comment,2026-05-26,2,,,"{""current_count"":""9"",""last_period_incr"":""-48"",""last_day_incr_rate"":""-60.00%"",""option_type"":4}"
overview,comment,2026-05-27,2,,,"{""current_count"":""9"",""last_period_incr"":""-48"",""last_day_incr_rate"":""0.00%"",""option_type"":4}"
overview,comment,2026-05-28,15,,,"{""current_count"":""9"",""last_period_incr"":""-48"",""last_day_incr_rate"":""+650.00%"",""option_type"":4}"
overview,comment,2026-05-29,0,,,"{""current_count"":""9"",""last_period_incr"":""-48"",""last_day_incr_rate"":""-"",""option_type"":4}"
overview,digg,2026-05-23,17,,,"{""current_count"":""134"",""last_period_incr"":""-145"",""last_day_incr_rate"":""-84.11%"",""option_type"":3}"
overview,digg,2026-05-24,7,,,"{""current_count"":""134"",""last_period_incr"":""-145"",""last_day_incr_rate"":""-58.82%"",""option_type"":3}"
overview,digg,2026-05-25,50,,,"{""current_count"":""134"",""last_period_incr"":""-145"",""last_day_incr_rate"":""+614.29%"",""option_type"":3}"
overview,digg,2026-05-26,7,,,"{""current_count"":""134"",""last_period_incr"":""-145"",""last_day_incr_rate"":""-86.00%"",""option_type"":3}"
overview,digg,2026-05-27,27,,,"{""current_count"":""134"",""last_period_incr"":""-145"",""last_day_incr_rate"":""+285.71%"",""option_type"":3}"
overview,digg,2026-05-28,26,,,"{""current_count"":""134"",""last_period_incr"":""-145"",""last_day_incr_rate"":""-3.70%"",""option_type"":3}"
overview,digg,2026-05-29,0,,,"{""current_count"":""134"",""last_period_incr"":""-145"",""last_day_incr_rate"":""-"",""option_type"":3}"
overview,fans,2026-05-23,83,,,"{""current_count"":""535"",""last_period_incr"":""316"",""last_day_incr_rate"":""0.00%"",""option_type"":6}"
overview,fans,2026-05-24,84,,,"{""current_count"":""535"",""last_period_incr"":""316"",""last_day_incr_rate"":""+1.20%"",""option_type"":6}"
overview,fans,2026-05-25,91,,,"{""current_count"":""535"",""last_period_incr"":""316"",""last_day_incr_rate"":""+8.33%"",""option_type"":6}"
overview,fans,2026-05-26,93,,,"{""current_count"":""535"",""last_period_incr"":""316"",""last_day_incr_rate"":""+2.20%"",""option_type"":6}"
overview,fans,2026-05-27,92,,,"{""current_count"":""535"",""last_period_incr"":""316"",""last_day_incr_rate"":""-1.08%"",""option_type"":6}"
overview,fans,2026-05-28,92,,,"{""current_count"":""535"",""last_period_incr"":""316"",""last_day_incr_rate"":""0.00%"",""option_type"":6}"
overview,fans,2026-05-29,0,,,"{""current_count"":""535"",""last_period_incr"":""316"",""last_day_incr_rate"":""-"",""option_type"":6}"
overview,music_create,2026-05-23,0,,,"{""current_count"":""0"",""last_period_incr"":""0"",""last_day_incr_rate"":""-"",""option_type"":26}"
overview,music_create,2026-05-24,0,,,"{""current_count"":""0"",""last_period_incr"":""0"",""last_day_incr_rate"":""-"",""option_type"":26}"
overview,music_create,2026-05-25,0,,,"{""current_count"":""0"",""last_period_incr"":""0"",""last_day_incr_rate"":""-"",""option_type"":26}"
overview,music_create,2026-05-26,0,,,"{""current_count"":""0"",""last_period_incr"":""0"",""last_day_incr_rate"":""-"",""option_type"":26}"
overview,music_create,2026-05-27,0,,,"{""current_count"":""0"",""last_period_incr"":""0"",""last_day_incr_rate"":""-"",""option_type"":26}"
overview,music_create,2026-05-28,0,,,"{""current_count"":""0"",""last_period_incr"":""0"",""last_day_incr_rate"":""-"",""option_type"":26}"
overview,music_create,2026-05-29,0,,,"{""current_count"":""0"",""last_period_incr"":""0"",""last_day_incr_rate"":""-"",""option_type"":26}"
overview,new_fans,2026-05-23,0,,,"{""current_count"":""9"",""last_period_incr"":""-74"",""last_day_incr_rate"":""-100.00%"",""option_type"":9}"
overview,new_fans,2026-05-24,1,,,"{""current_count"":""9"",""last_period_incr"":""-74"",""last_day_incr_rate"":""-"",""option_type"":9}"
